Nest ID,Date Recorded,common_bird,sci_bird,id_notes,common_plant,sci_plant,Over Water,Nest Height (in),Nest Height (cm),Eggs/Hatchlings,Habitat Notes,Latitude (DD),Longitude (DD)
19,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Goldenrod,Solidago sp,No,47.5,121,3 eggs,Inner edge of sweetgum stand,37.13185,-89.46022
20,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,129,328,Unknown,Inner edge of sweetgum stand,37.13194,-89.46022
21,5-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Woolgrass,Scirpus cyperinus,No,35,89,No eggs,Outer edge of far corner water upland,37.13172,-89.46005
22,12-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Buttonbush,Cephalanthus occidentalis,No,72,183,"1 egg, 2 hatchlings","Middle of plot, near owl box",37.13194,-89.4625
23,12-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Cattails,Typha sp,Yes,53.5,136,No eggs,Middle cattail stand,37.13194,-89.4625
24,12-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Cattails,Typha sp,Yes,57.5,146,No eggs,Middle-ish of cattail stand,37.13194,-89.4625
25,12-Jul-24,Red-winged Blackbird,Agelaius phoeniceus,,Cattails,Typha sp,Yes,22.5,57,No eggs,Middle-ish cattail stands,37.13139,-89.4625
26,12-Jul-24,Unknown,Unknown,,Hole in the ground,,No,0,0,Unknown,Drier part behind/side of big water,37.13139,-89.46222
27,3-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,Cattails,Typha sp,Yes,85,216,Unknown,None,37.1325,-89.4633
28,3-Aug-24,Unknown,Unknown,,Sugar Hackberry,Celtis laevigata,No,41,104,No eggs,None provided,37.13306,-89.46306
29,3-Aug-24,Unknown,Unknown,,Eastern Redcedar,Juniperus virginiana,No,40,102,No eggs,"Perimeter near road, egg shells found on ground",37.13194,-89.46361
30,3-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,Cattails,Typha sp,Yes,74,188,No eggs,Cattails near big water to right,37.13167,-89.46222
31,3-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,Yes,165,419,Unknown,None,37.13139,-89.46333
32,3-Aug-24,Unknown,Unknown,,American Sweetgum,Liquidambar styraciflua,No,112,284,Unknown,None,37.13222,-89.46306
33,3-Aug-24,Unknown,Unknown,,Goldenrod,Solidago sp,No,43,109,No eggs,None,37.13222,-89.46333
34,3-Aug-24,Blue Grosbeak,Passerina caerulea,suspected,Not specified,,No,NA,NA,No eggs,Not provided,37.13208,-89.46334
35,3-Aug-24,Blue Grosbeak,Passerina caerulea,,Common Pear,Pyrus communis,No,52,132,4 hatchlings,Perimeter near road,37.132,-89.463
36,9-Aug-24,Mourning Dove,Zenaida macroura,,Overcup Oak,Quercus lyrata,No,90,229,2 eggs,Tree near water edge on other side of oxbow,37.13308,-89.46264
37,9-Aug-24,Unknown,Unknown,,Box Elder,Acer negundo,No,80,203,No eggs,Upland area behind oxbow,37.13308,-89.46222
38,9-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,141,358,Unknown,Upland area behind oxbow,37.13,-89.46222
39,9-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,144,366,Unknown,Upland area behind oxbow,37.13,-89.46222
40,9-Aug-24,Unknown,Unknown,,American Sweetgum,Liquidambar styraciflua,No,81,206,No eggs,Upland area behind oxbow,37.13,-89.46222
41,9-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,Wool Grass,Scirpus cyperinus,No,40,102,No eggs,"Near far water, not above water",37.13172,-89.46005
42,17-Aug-24,Indigo Bunting,Passerina cyanea,probable,NA,,No,NA,NA,NA,Not provided,37.13333,-89.4625
43,23-Aug-24,Indigo Bunting,Passerina cyanea,probable,NA,,No,NA,NA,NA,Not provided,37.13333,-89.4625
44,23-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,Cattails,Typha sp,Yes,72,183,No eggs,Oxbow,37.13194,-89.4625
45,23-Aug-24,Indigo Bunting,Passerina cyanea,probable,NA,,No,NA,NA,NA,Other side of oxbow by corn,37.13194,-89.4625
46,23-Aug-24,Unknown,Unknown,,Green Hawthorn,Crataegus viridis,No,69,175,Unknown,Denser trees by corn on other side of oxbow,37.13139,-89.46139
47,23-Aug-24,Unknown,Unknown,,American Sweetgum,Liquidambar styraciflua,No,71,180,Unknown,Denser trees by corn on other side of oxbow,37.13,-89.46056
48,23-Aug-24,Red-winged Blackbird,Agelaius phoeniceus,,American Sweetgum,Liquidambar styraciflua,No,117,297,Unknown,Denser trees by corn on other side of oxbow,37.13111,-89.46
